partner_name,street,city,state,zip,country,status,is_out_of_state
Communities In Schools of the Twin Cities,Saint Anthony Avenue,Saint Paul,Minnesota,55104,United States,active,No
360 Communities,Highway 13 West,Burnsville,Minnesota,55337,United States,active,No
Clare Housing,929 Central Avenue Northeast,Minneapolis,Minnesota,55413,United States,active,No
Community Resource Center of St. Andrew’s,900 Stillwater Road,Mahtomedi,Minnesota,55115,United States,active,No
Minnesota Math & Science Academy,8430 Woodbury Crossing,Woodbury,Minnesota,55125,United States,active,No
Auntie Bec’s Boutique,825 Tatum Street,Saint Paul,Minnesota,55104,United States,active,No
Horizon Science Academy Twin Cities,7735 2nd Avenue South,Richfield,Minnesota,55423,United States,active,No
Breaking Free,770 University Avenue West,Saint Paul,Minnesota,55104,United States,active,No
Beyond the Dance Network,713 Minnehaha Avenue East,Saint Paul,Minnesota,55106,United States,active,No
Community Partnership Collaborative 2.0,618 2nd Avenue Southeast,Minneapolis,Minnesota,55414,United States,active,No
Christian Motorcycle Association,560 Polk Road 78,Mena,Arkansas,71953,United States,active,Yes
FOCUS Minnesota,550 Rice Street,Saint Paul,Minnesota,55103,United States,active,No
Every Third Saturday,5402 43rd Avenue South,Minneapolis,Minnesota,55417,United States,active,No
Hennepin County Juvenile Probation,525 Portland Avenue South,Minneapolis,Minnesota,55415,United States,active,No
District 196 Dakota Valley Learning Center,4679 144th Street West,Apple Valley,Minnesota,55124,United States,active,No
Camden Promise,4656 Colfax Avenue North,Minneapolis,Minnesota,55412,United States,active,No
Community Action Partnership of Ramsey & Washington Counties,450 Syndicate Street North,Saint Paul,Minnesota,55104,United States,active,No
ANEW Chemical Health Services,445 Etna Street,Saint Paul,Minnesota,55106,United States,active,No
Love INC of Douglas County Lakes Area,44 Glenn Rd NW,Alexandria,Minnesota,56308,United States,active,No
High School for Recording Arts,4205 Cedar Avenue South,Minneapolis,Minnesota,55407,United States,active,No
Crystal Police Department,4141 Douglas Drive North,Crystal,Minnesota,55422,United States,active,No
Hope for the Brave,407 Frederick Circle,Hastings,Minnesota,55033,United States,active,No
District 196 Woodland Elementary School,375 Garden View Drive,Apple Valley,Minnesota,55124,United States,active,No
Dakota Woodlands,3430 Wescott Woodlands,Eagan,Minnesota,55123,United States,active,No
Augsburg Central Health Commons,333 South 12th Street,Minneapolis,Minnesota,55404,United States,active,No
Life Haven,325 East Jenks Avenue,Saint Paul,Minnesota,55130,United States,active,No
Good in the Hood,3001 Washington Avenue South,Bemidji,Minnesota,56601,United States,active,No
FreedomWorks,2900 Fremont Avenue North,Minneapolis,Minnesota,55411,United States,active,No
Franklin WestCap,277 Coon Rapids Boulevard Northwest,Coon Rapids,Minnesota,55433,United States,active,No
MetroHope Ministries,2739 Cedar Avenue South,Minneapolis,Minnesota,55407,United States,active,No
Lutheran Social Service,2485 Como Avenue,Saint Paul,Minnesota,55108,United States,active,No
"Kinship, Adoption, and Foster Association",2446 University Avenue West,Saint Paul,Minnesota,55114,United States,active,No
Ally Supportive Services,238 Wentworth Avenue East,West St. Paul,Minnesota,55118,United States,active,No
Ally Supportive Services,238 Wentworth Avenue East,West St. Paul,Minnesota,55118,United States,active,No
Agate Housing,2309 Nicollet Avenue,Minneapolis,Minnesota,55404,United States,active,No
Courage Kenny Rehabilitation Institute,2250 Northwest 26th Street,Owatonna,Minnesota,55060,United States,active,No
Jordan Area Community Council,2147 Lowry Avenue North,Minneapolis,Minnesota,55411,United States,active,No
"Area Learning Center, District 196",2120 Silver Bell Road,Eagan,Minnesota,55122,United States,active,No
Avivo,1900 Chicago Avenue South,Minneapolis,Minnesota,55404,United States,active,No
District 197,1897 Delaware Avenue,Mendota Heights,Minnesota,55118,United States,active,No
Exchange Club Center for Family Unity,1820 Hartle Avenue,Owatonna,Minnesota,55060,United States,active,No
Little Hopes,1805 Englewood Avenue,Saint Paul,Minnesota,55104,United States,active,No
Foster Together MN,17694 Fieldcrest Avenue,Farmington,Minnesota,55024,United States,active,No
Eden Prairie High School,17185 Valley View Road,Eden Prairie,Minnesota,55346,United States,active,No
Hosanna Church Street Outreach,1690 Vierling Drive East,Shakopee,Minnesota,55379,United States,active,No
MHealth Fairview Adolescent Residential Program,1675 Beam Avenue,Maplewood,Minnesota,55109,United States,active,No
Mary Magdalen House,1629 Republic Street,Cincinnati,Ohio,45202,United States,active,Yes
Catholic Order of Foresters,1600 Madison Avenue,Mankato,Minnesota,56001,United States,active,No
"Community Pathways of Steele County, Inc.",155 Oakdale Street,Owatonna,Minnesota,55060,United States,active,No
Friends of the Family,150 Engler Boulevard,Chaska,Minnesota,55318,United States,active,No
Diamond Path Elementary School,14455 Diamond Path W,Apple Valley,Minnesota,55124,United States,active,No
Apple Valley High School,14450 Hayes Road,Apple Valley,Minnesota,55124,United States,active,No
District 196 Cedar Valley Learning Center,14420 Glenda Drive,Apple Valley,Minnesota,55124,United States,active,No
Hastings Family Service,1433 Vermillion Street,Hastings,Minnesota,55033,United States,active,No
Evergreen Recovery,1400 Energy Park Drive,Saint Paul,Minnesota,55108,United States,active,No
Five Sparrows Foster Closet,14 Omega Court,North Mankato,Minnesota,56003,United States,active,No
Intermediate School District 917,1300 145th Street East,Rosemount,Minnesota,55068,United States,active,No
Dakota County Technical College,1300 145th Street East,Rosemount,Minnesota,55068,United States,active,No
M.O.M.S. Program,12921 Nicollet Avenue South,Burnsville,Minnesota,55337,United States,active,No
Chatfield Food Pantry,124 Winona Street Southeast,Chatfield,Minnesota,55923,United States,active,No
Helping Each Other Live Productive,1234 Northeast Main Street,Minneapolis,Minnesota,55413,United States,active,No
Hope Ave Twin Cities,1229 Logan Avenue North,Minneapolis,Minnesota,55411,United States,active,No
Mendota Dakota Tribal Community,1200 Centre Pointe Curve,Mendota Heights,Minnesota,55120,United States,active,No
Face to Face Health and Counseling,1165 Arcade Street,Saint Paul,Minnesota,55106,United States,active,No
Homeward Bound Homeless Shelter,111 11th Avenue Southeast,Minneapolis,Minnesota,55414,United States,active,No
Joseph’s Coat,1107 7th Street West,Saint Paul,Minnesota,55102,United States,active,No
"Marine Corps League, Runestone Detachment 1409",1102 3rd Avenue East,Alexandria,Minnesota,56308,United States,active,No
180 Degrees St Cloud Youth Shelter,1101 Washington Memorial Drive,St. Cloud,Minnesota,56301,United States,active,No
American Indian Magnet School,1075 3rd Street East,Saint Paul,Minnesota,55106,United States,active,No
Days for Girls,102 Ohio Street,Bellingham,Washington,98225,United States,active,Yes
Catholic Charities Twin Cities,1007 East 14th Street,Minneapolis,Minnesota,55404,United States,active,No
Department of Indian Work,1001 East Lake Street,Minneapolis,Minnesota,55407,United States,active,No
Listening House,464 Maria Ave,Saint Paul,MN,55106,United States,active,No
Life Rebuilders,720 E Lake St,Minneapolis,MN,55407,United States,active,No
Kaitlyn’s Kloset,3480 Edgewood Dr,Eagan,MN,55123,United States,active,No
Inver Hills Community College Student Food & Resource Center,2500 80th St E,Inver Grove Heights,MN,55076,United States,active,No
Highland Elementary School,1700 W 46th St,Minneapolis,MN,55419,United States,active,No
"Front and Center, Inc. dba Eyota Food Pantry",400 West Jefferson St,Eyota,MN,55934,United States,active,No
District 196 American Indian Education Program,3455 153rd St W,Rosemount,MN,55068,United States,active,No
Anoka Hennepin School District (District Office),2727 N Ferry St,Anoka,MN,55303,United States,active,No
Anything Helps Northside Hub,3859 Fremont Ave N,Minneapolis,MN,55412,United States,active,No
Basic Needs Inc South Washington County,8475 East Point Douglas Rd,Cottage Grove,MN,55016,United States,active,No
Closet of Hope Bloomington Covenant Church,[Address TBD],Bloomington,MN,55431,United States,active,No
Eagle Nation Station Eden Prairie High School,[Address TBD],Eden Prairie,MN,55346,United States,active,No
Interfaith Action Department of Indian Work,[Address TBD],Little Canada,MN,55117,United States,active,No
Lewis House 360 Communities,[Address TBD],Eagan,MN,55122,United States,active,No
Minnesota Correctional Facility Red Wing,1079 Highway 292,Red Wing,MN,55066,United States,active,No
Mino De’e A Division of Nourishing HOPE,[Address TBD],Delano,MN,55328,United States,active,No
Mission Outpost and Prince of Peace Lutheran Church,13801 Fairview Drive,Burnsville,MN,55337,United States,active,No
"Model Cities of St. Paul, Inc.",839 University Avenue W,Saint Paul,MN,55104,United States,active,No
Ms Houston's Caring Hands,21001 John Milless Dr #109,Rogers,MN,55374,United States,active,No
National Alliance on Mental Illness,[Address TBD],Saint Paul,MN,55104,United States,active,No
Native American Community Clinic,[Address TBD],Minneapolis,MN,55404,United States,active,No
Neighborhood HealthSource,[Address TBD],Minneapolis,MN,55412,United States,active,No
Neighborhood House,[Address TBD],Saint Paul,MN,55107,United States,active,No
"Neighbors, Inc.",[Address TBD],South St. Paul,MN,55075,United States,active,No
Oasis for Youth,2200 W Old Shakopee Rd,Bloomington,MN,55431,United States,active,No
Olson Middle School,1607 51st Ave N,Minneapolis,MN,55430,United States,active,No
Peace House Community,1816 Portland Ave,Minneapolis,MN,55404,United States,active,No
People Serving People,614 S 3rd St,Minneapolis,MN,55415,United States,active,No
Peoples Incorporated,3000 Ames Crossing Rd Suite 600,Eagan,MN,55121,United States,active,No
Pine River Area Food Shelf,245 Barclay Ave W,Pine River,MN,56474,United States,active,No
Place of Hope Ministries,511 9th Ave N,St. Cloud,MN,56303,United States,active,No
Project for Pride in Living,1021 E Franklin Ave,Minneapolis,MN,55404,United States,active,No
Project REACH,1021 Bandana Blvd E #222,Saint Paul,MN,55108,United States,active,No
R.S. Eden Reentry,444 W Lynnhurst Ave,Saint Paul,MN,55104,United States,active,No
RADIAS Health,166 4th St E Suite 200,Saint Paul,MN,55101,United States,active,No
Rescue Now Services,697 13th Ave NE,Minneapolis,MN,55413,United States,active,No
Rise Up Recovery,507 Vermillion St,Hastings,MN,55033,United States,active,No
"Rise, Inc.",6499 University Ave NE Suite 200,Fridley,MN,55432,United States,active,No
Roots Wellness Center,1916 University Ave W,Saint Paul,MN,55104,United States,active,No
Rosemount High School,3335 55th St W,Rosemount,MN,55068,United States,active,No
Seeds of Hope MN,3166 197th St E,Faribault,MN,55021,United States,active,No
Simpson Housing Services,160 Glenwood Ave,Minneapolis,MN,55405,United States,active,No
Sojourner Project,P.O. Box 272,Hopkins,MN,55343,United States,active,No
Solid Ground,1501 N 45th St,Seattle,WA,98103,United States,active,No
St. Paul Public Schools,360 Colborne St,Saint Paul,MN,55102,United States,active,No
STEP St. Louis Park,6812 W Lake St,St. Louis Park,MN,55426,United States,active,No
Stepping Stones,66 Oak Road,Katonah,NY,10536,United States,active,No
Tasks Unlimited,2419 Nicollet Ave S,Minneapolis,MN,55404,United States,active,No
The Aliveness Project,3808 Nicollet Ave,Minneapolis,MN,55409,United States,active,No
The Bridge for Youth,1111 W 22nd St,Minneapolis,MN,55405,United States,active,No
The Dwelling Place,100 N. Franklin,Danville,IL,61832,United States,active,No
The Family Partnership,1527 E Lake St,Minneapolis,MN,55407,United States,active,No
The Hub,"5200 48th Ave N, Suite A",Minneapolis,MN,55429,United States,active,No
The Lincoln Center,100 Lincoln Center Dr,Yorktown,VA,23690,United States,active,No
The Link,1210 E 24th St,Minneapolis,MN,55404,United States,active,No
The Native American Community Clinic,1213 E Franklin Ave,Minneapolis,MN,55404,United States,active,No
The PROP Shop Eden Prairie,14700 Martin Dr,Eden Prairie,MN,55344,United States,active,No
The Salvation Army,2445 Prior Ave N,Roseville,MN,55113,United States,active,No
Theresa Living Center,1928 St Anthony Ave,St. Paul,MN,55104,United States,active,No
Touchstone Mental Health Portland Place,2309 Portland Ave S,Minneapolis,MN,55404,United States,active,No
Toys for Tots,5905 34th Ave S,Minneapolis,MN,55450,United States,active,No
Transition Plus,2015 E Lake St,Minneapolis,MN,55407,United States,active,No
Turning Point for Victims of Domestic and Sexual Violence,1004 N Main St,River Falls,WI,54022,United States,active,No
Twin Cities Pride,1618 Harmon Place,Minneapolis,MN,55403,United States,active,No
Two Rivers High School,1897 Delaware Ave,Mendota Heights,MN,55118,United States,active,No
Urban Roots MN,1110 Payne Ave,Saint Paul,MN,55130,United States,active,No
Valley Middle School of STEM,900 Garden View Dr,Apple Valley,MN,55124,United States,active,No
Valley View Recovery Center,31591 64th Ave,Cannon Falls,MN,55009,United States,active,No
"Volunteer Service Center, Inc",614 3rd Street South,Minneapolis,MN,55415,United States,active,No
Volunteers of America,7625 Metro Boulevard,Minneapolis,MN,55439,United States,active,No
Washington County Winter PIT Stop,6201 Osgood Avenue N,Stillwater,MN,55082,United States,active,No
Washington Technology Magnet Middle/High School,1495 Rice Street,Saint Paul,MN,55117,United States,active,No
Western Communities Action Network (WeCAN),5213 Shoreline Drive,Mound,MN,55364,United States,active,No
White Earth Reservation,35500 Eagle View Road,Ogema,MN,56569,United States,active,No
Women’s Advocates,588 Grand Avenue,Saint Paul,MN,55102,United States,active,No
Youth Department of Corrections,510 Park Avenue,Minneapolis,MN,55415,United States,active,No
YouthLink,41 N. 12th Street,Minneapolis,MN,55403,United States,active,No
Zion Baptist Church,621 Elwood Ave N,Minneapolis,MN,55411,United States,active,No
New Life Center,1515 East 66th St,Richfield,MN,55423,United States,active,Yes
Our Neighbors’ Place,122 West Johnson Street,River Falls,WI,54022,United States,active,Yes
Recovery Cafe,499 Charles Ave,Saint Paul,MN,55103,United States,active,Yes
Rosebud Native American Tribe,11 Legion Avenue,Rosebud,SD,57570,United States,active,Yes
Serve Your City,404 S 8th Street,Minneapolis,MN,55404,United States,active,Yes